あしたは雨降るがかもしれません。,あしたはあめが降る｛｝,かもしれません,"Probably, but you don't know if it really is the case",It may rain tomorrow,Can also use ない instead of ません,あしたは雨[あめ]が降る[ふる]かもしれません。,,scott
あしたは天気がよくないかもしれません。,あしたは天気がよくない｛｝,かもしれません,"Probably, but you don't know if it really is the case",The weather may not be good tomorrow.,Can also use ない instead of ません,あしたは 天気[てんき]がよくないかもしれません。,,scott
私はその女の人に花をあげます。,私はその女の人にはなを｛｝,あげます,Give to,I will give the woman flowers.,,私はその 女[おんあ]の 人[ひと]に 花[はな]をあげます。,,scott
両親が私に新しい車をくれるかもしれません。,両親が私に新しい車を｛｝かもしれません,くれる,Give to,My parents may give me a new car,,両親[りょうしん]が私に 新[あたら]しい 車[くるま]をくれるかもしれません,,scott
私は姉から古い辞書をもらいました。,私は姉から古い辞書を｛｝。,もらいました,Recieve,I recieved an old dictonary from my big sister.,can use から or に as particle for giver,私は 姉[あね]から 古[ふる]い 辞書[じしょ]をもらいました。,,scott
もっと勉強したらどうですか。,もっと勉強し｛｝。,たろうですかた,advice or recommendation,Why don't you study harder?,Can also be shortened to たらどう or たら,もっと 勉強[べんきょう]したらどうですか。,,scott
薬を飲んだらどうですか,薬を飲ん｛｝,だらどうですか,advice or recommendation,How about taking some medicine?,Can also be shortened to たらどう or たら,薬[くすり]を 飲[の]んだらどうですか,,scott
私の母は猫を三匹も飼っています,私の母は猫を｛｝飼っています,三匹も,As many as,"My mother owns three, count them, three cats.","Add も to a number to get ""as many as""",私の 母[はは]は 猫[ねこ]を 三匹[さんびき]も 飼[か]っています,,scott
私は日本語の辞書を一冊しか持っていません。,私は日本語の辞書を一冊｛｝,しか持っていません,Only/As few as,I have only one japanese dictonary,,私は日本語の 辞書[じしょ]を 一冊[いっさつ]しか 持[も]っていません。,,scott
あしたは授業がないから、今晩、どこかに食べに行こう。,あしたは授業がないから、今晩、どこかに食べに｛｝,行こう,Let's go,We don't have any classes tomorrow. Lets go some place for dinner tonight.,"Volitional Form, more casual form of ましょう",あしたは 授業[じゅぎょう]がないから、 今晩[こんばん]、どこかに 食[た]べに 行[い]こう。,,scott
結婚しようよ。,結婚｛｝よ,しよう,Let's do,"Hey, let's get married!","Volitional Form, more casual form of ましょう",結婚[けっこん]しようよ。,,scott
今度、いつ会おうか。,今度、いつ｛｝か,会おう,Let's meet,When shall we meet again?,"Volitional Form, more casual form of ましょう",今度[こんど]、いつ会おうか,,scott
毎日三時間日本語を勉強しようと思っています。,毎日三時間日本語を｛｝,勉強しようと思っています,Already decided to study,I've decided to study Japanese for three hours every day.,A decision one has already decided to do,毎日三時間日本語を勉強しようと思っています。,,scott
漢字の辞書を買おうとお見ます。,感じの辞書を｛｝,買おうとお見ます,Decided on the spot to buy,I will buy a kanji dictionary.,use と思います with volitional to mark a deciision made on the spot,漢字の辞書を買おうとお見ます。,,scott
日本の会社で働こうと思っています。,日本の会社で｛｝,働こうと思っています,Already decided to work at,I am going to work for a Japanese company.,A decision one has already decided to do,日本の会社で働こうと思っています。,,scott
あした試験があるので、今晩勉強しておきます。,あした試験があるので、今晩｛｝,勉強しておきます,I will study for it,"Since there will be an exam tomorrow, I will study (for it) tonight.",An action performed in preperation of something.,あした試験があるので、今晩勉強しておきます。,,scott
友達が来るから、部屋を掃除しておかなきゃいけません。,友達が来るから、部屋を｛｝,掃除しておかなきゃいけません。,I must clean for it,"I have to clean the room, because my friends are coming.",An action performed in preperation of something.,友達が来るから、部屋を掃除しておかなきゃいけません。,,scott
ホテルを予約しとくね。,ホテルを｛｝ね,予約しとく,I will reserve in advance,I will make a hotel reservation in advance.,An action performed in preperation of something.,ホテルを予約しとくね。,,scott
これは去年の誕生日に彼女がくれた本です。,これは｛｝本です。,去年の誕生日に彼女がくれた,Item that my girlfriend gave me last birthday,This is a book that my girlfriend gave me on my birthday last year.,You can use a sentence as a qualifier to a noun.,これは去年の誕生日に彼女がくれた本です。,,scott
父が村上春樹が書いた本をくれました。,父が｛｝本をくれました。,村上春樹が書いた,Item that Haruki Murakami wrote.,My father gave me a book that Haruki Murakami wrote.,You can use a sentence as a qualifier to a noun.,父が 村[むら] 上[かみ] 春[はる] 樹[き]が書いた本をくれました。,,scott
私が一番感動した映画は「生きる」です。,｛｝映画は「生きる」です。,私が一番感動した,That I was most touched by,"The movie I was touched by the most is ""To Live"".",You can use a sentence as a qualifier to a noun.,私が一番感動した映画は「 生[い]きる」です。,,scott
